ZIP,POP
15001,31081
15003,11213
15004,521
15005,9319
15006,423
15007,623
15009,15241
15010,27380
15012,15220
15014,3090
15015,1225
15017,15934
15018,874
15019,1476
15020,165
15021,7186
15022,9821
15024,8624
15025,16298
15026,3406
15027,2190
15028,216
15030,1130
15031,486
15033,4721
15034,1730
15035,1955
15037,10485
15038,351
15042,8309
15043,2091
15044,27735
15045,4371
15046,2589
15047,107
15049,878
15050,2656
15051,536
15052,3159
15053,106
15054,351
15055,986
15056,1136
15057,16167
15059,4239
15060,735
15061,12328
15062,7344
15063,11481
15064,256
15065,11463
15066,12654
15067,2406
15068,37035
15071,10794
15072,11
15074,7874
15075,197
15076,726
15077,165
15078,541
15081,344
15082,194
15083,692
15084,9995
15085,7586
15086,462
15087,150
15088,524
15089,6453
15090,23016
15101,25493
15102,29616
15104,8669
15106,19667
15108,40971
15110,5543
15112,2873
15116,14061
15120,18512
15122,19745
15126,7411
15129,10495
15131,7866
15132,21136
15133,6189
15135,5223
15136,22881
15137,9884
15139,6480
15140,3195
15142,1271
15143,21150
15144,4036
15145,6864
15146,27678
15147,17374
15148,2480
15201,12543
15202,19569
15203,10151
15204,8443
15205,21475
15206,29460
15207,10602
15208,9976
15209,12011
15210,26241
15211,10415
15212,27141
15213,27878
15214,13713
15215,12594
15216,22580
15217,27575
15218,13443
15219,16545
15220,17704
15221,30169
15222,5348
15223,6589
15224,10675
15225,993
15226,13511
15227,28466
15228,17691
15229,13575
15232,11764
15233,3994
15234,13480
15235,34545
15236,28574
15237,42561
15238,12944
15239,20603
15241,20732
15243,12952
15260,0
15290,0
15301,48813
15310,265
15311,1566
15312,3849
15313,370
15314,3560
15315,512
15316,123
15317,39019
15320,5682
15321,1517
15322,1728
15323,4583
15324,528
15325,330
15327,1696
15329,1397
15330,4945
15331,808
15332,8327
15333,2114
15334,132
15337,595
15338,1785
15340,1217
15341,796
15342,5084
15344,1323
15345,1399
15346,477
15347,795
15348,277
15349,1576
15350,471
15351,684
15352,880
15353,115
15357,1526
15358,678
15359,153
15360,1711
15361,268
15362,743
15363,625
15364,752
15366,179
15367,9211
15368,383
15370,14440
15376,1734
15377,705
15378,46
15379,92
15380,544
15401,31031
15410,1092
15411,613
15412,487
15413,479
15417,8320
15419,4460
15420,422
15421,48
15422,191
15423,2439
15424,1988
15425,19136
15427,1056
15428,1929
15429,332
15430,406
15431,4053
15432,457
15433,851
15434,274
15435,424
15436,2985
15437,2838
15438,2256
15440,134
15442,1978
15443,202
15444,338
15445,2609
15446,206
15447,103
15448,218
15449,330
15450,2275
15451,1095
15454,131
15455,488
15456,2866
15458,2320
15459,1657
15460,136
15461,4100
15462,573
15463,125
15464,1672
15466,479
15467,119
15468,2186
15469,2174
15470,683
15472,94
15473,3608
15474,2113
15475,1276
15476,83
15477,779
15478,5892
15479,2063
15480,1887
15482,290
15483,393
15484,103
